Order ID,Customer Id,Order Date,Order Amount
ORD-850020,DD37Cf93aecA6Dc,2022-11-13,69.15
ORD-727234,1Ef7b82A4CAAD10,2022-07-11,103.7
ORD-566960,1Ef7b82A4CAAD10,2022-06-21,282.11
ORD-405628,1Ef7b82A4CAAD10,2022-02-15,246.35
ORD-278274,6F94879bDAfE5a6,2022-08-21,305.91
ORD-889852,5Cef8BFA16c5e3c,2022-10-29,340.08
ORD-559451,053d585Ab6b3159,2022-04-26,34.88
ORD-477812,053d585Ab6b3159,2022-06-10,38.11
ORD-354079,2d08FB17EE273F4,2022-01-18,81.37
ORD-613758,EA4d384DfDbBf77,2022-02-23,119.08
ORD-545101,EA4d384DfDbBf77,2022-10-07,23.44
ORD-104014,EA4d384DfDbBf77,2022-12-08,44.42
ORD-156958,EA4d384DfDbBf77,2022-06-04,35.0
ORD-276089,EA4d384DfDbBf77,2022-09-30,188.83
ORD-730152,0e04AFde9f225dE,2022-10-26,123.41
ORD-467654,C2dE4dEEc489ae0,2022-06-19,165.74
ORD-335362,8C2811a503C7c5a,2022-11-02,201.8
ORD-764076,216E205d6eBb815,2022-11-12,71.61
ORD-320984,216E205d6eBb815,2022-02-05,160.09
ORD-364512,CEDec94deE6d69B,2022-09-21,121.06
ORD-694319,e35426EbDEceaFF,2022-05-22,220.73
ORD-548982,A08A8aF8BE9FaD4,2022-05-23,47.09
ORD-766326,6fEaA1b7cab7B6C,2022-12-08,39.77
ORD-152921,6fEaA1b7cab7B6C,2022-03-04,400.86
ORD-384821,8cad0b4CBceaeec,2022-11-10,196.9
ORD-131024,8cad0b4CBceaeec,2022-06-29,3.96
ORD-284078,a5DC21AE3a21eaA,2022-02-23,77.02
ORD-213632,F8Aa9d6DfcBeeF8,2022-09-21,146.96
ORD-103051,F160f5Db3EfE973,2022-04-18,97.52
ORD-711523,F160f5Db3EfE973,2022-09-19,5.31
ORD-549395,F160f5Db3EfE973,2022-12-16,77.79
ORD-827975,0F60FF3DdCd7aB0,2022-11-04,14.24
ORD-333841,9F9AdB7B8A6f7F2,2022-05-04,125.38
ORD-322866,FBd0Ded4F02a742,2022-05-25,50.89
ORD-834994,2FB0FAA1d429421,2022-04-02,136.27
ORD-650233,010468dAA11382c,2022-08-17,20.37
ORD-368093,010468dAA11382c,2022-10-06,55.92
ORD-200235,eC1927Ca84E033e,2022-05-09,19.03
ORD-903328,09D7D7C8Fe09aea,2022-08-27,28.8
ORD-763165,aBdfcF2c50b0bfD,2022-04-28,125.38
ORD-276615,b92EBfdF8a3f0E6,2022-08-25,32.84
ORD-234415,b92EBfdF8a3f0E6,2022-07-08,133.9
ORD-765022,b92EBfdF8a3f0E6,2022-03-10,94.6
ORD-814998,b92EBfdF8a3f0E6,2022-03-17,83.48
ORD-955474,b92EBfdF8a3f0E6,2022-03-27,1.45
ORD-554605,3B5dAAFA41AFa22,2022-08-08,4.71
ORD-965264,EDA69ca7a6e96a2,2022-04-04,193.42
ORD-291475,64DCcDFaB9DFd4e,2022-07-23,1.73
ORD-876665,679c6c83DD872d6,2022-12-07,64.15
ORD-555968,679c6c83DD872d6,2022-09-11,56.89
ORD-388790,679c6c83DD872d6,2022-09-07,95.67
ORD-460260,679c6c83DD872d6,2022-04-10,4.64
ORD-533374,7Ce381e4Afa4ba9,2022-09-07,270.96
ORD-371967,A09AEc6E3bF70eE,2022-09-14,77.52
ORD-640652,A09AEc6E3bF70eE,2022-01-04,95.67
ORD-288751,A09AEc6E3bF70eE,2022-09-04,288.69
ORD-149115,A09AEc6E3bF70eE,2022-06-09,281.73
ORD-249143,aA9BAFfBc3710fe,2022-06-27,85.18
ORD-453824,E11dfb2DB8C9f72,2022-06-28,171.84
ORD-990123,889eCf90f68c5Da,2022-11-19,171.72
ORD-604999,7a1Ee69F4fF4B4D,2022-11-26,23.15
ORD-251836,7a1Ee69F4fF4B4D,2022-01-12,10.62
ORD-767521,7a1Ee69F4fF4B4D,2022-09-10,9.92
ORD-724674,dca4f1D0A0fc5c9,2022-08-03,7.38
ORD-649639,dca4f1D0A0fc5c9,2022-04-03,186.35
ORD-437497,dca4f1D0A0fc5c9,2022-04-25,33.11
ORD-103267,dca4f1D0A0fc5c9,2022-11-10,119.32
ORD-257164,dca4f1D0A0fc5c9,2022-03-16,209.94
ORD-992323,dca4f1D0A0fc5c9,2022-08-05,162.7
ORD-323992,dca4f1D0A0fc5c9,2022-06-13,19.53
ORD-643176,dca4f1D0A0fc5c9,2022-07-11,85.78
ORD-969474,17aD8e2dB3df03D,2022-02-05,46.52
ORD-296582,2f79Cd309624Abb,2022-04-06,41.67
ORD-500573,2f79Cd309624Abb,2022-08-12,195.48
ORD-267280,2f79Cd309624Abb,2022-07-02,138.98
ORD-737144,2f79Cd309624Abb,2022-12-21,10.88
ORD-998320,6e5ad5a5e2bB5Ca,2022-03-03,68.63
ORD-219180,6e5ad5a5e2bB5Ca,2022-07-06,10.53
ORD-179459,6e5ad5a5e2bB5Ca,2022-08-21,187.83
ORD-825256,6e5ad5a5e2bB5Ca,2022-10-11,299.7
ORD-820255,7E441b6B228DBcA,2022-02-21,85.2
ORD-105486,7E441b6B228DBcA,2022-05-24,59.5
ORD-727083,D3fC11A9C235Dc6,2022-01-25,80.68
ORD-449652,30Dfa48fe5Ede78,2022-02-22,156.82
ORD-389336,fD780ED8dbEae7B,2022-02-08,9.56
ORD-252617,300A40d3ce24bBA,2022-07-05,5.93
ORD-989465,300A40d3ce24bBA,2022-05-13,133.57
ORD-174460,300A40d3ce24bBA,2022-08-23,122.36
ORD-727438,300A40d3ce24bBA,2022-03-17,116.48
ORD-313945,300A40d3ce24bBA,2022-09-10,182.31
ORD-383821,300A40d3ce24bBA,2022-05-21,25.18
ORD-818216,300A40d3ce24bBA,2022-10-10,122.5
ORD-314532,300A40d3ce24bBA,2022-01-29,8.87
ORD-389106,300A40d3ce24bBA,2022-05-16,46.88
ORD-257504,300A40d3ce24bBA,2022-12-08,167.56
ORD-792440,283DFCD0Dba40aF,2022-10-28,139.99
ORD-266981,F4Fc91fEAEad286,2022-09-09,8.72
ORD-303196,80F33Fd2AcebF05,2022-12-30,81.74
ORD-743162,Aa20BDe68eAb0e9,2022-07-21,236.82
ORD-587462,Aa20BDe68eAb0e9,2022-05-06,67.85
ORD-629036,Aa20BDe68eAb0e9,2022-08-30,63.24
ORD-748249,Aa20BDe68eAb0e9,2022-05-28,12.65
ORD-506332,Aa20BDe68eAb0e9,2022-12-27,136.34
ORD-663586,e898eEB1B9FE22b,2022-12-14,327.47
ORD-592734,e898eEB1B9FE22b,2022-11-08,75.16
ORD-342804,e898eEB1B9FE22b,2022-05-14,162.0
ORD-604492,e898eEB1B9FE22b,2022-06-09,81.19
ORD-858574,e898eEB1B9FE22b,2022-05-29,4.44
ORD-455540,e898eEB1B9FE22b,2022-07-22,251.47
ORD-359747,e898eEB1B9FE22b,2022-08-15,118.88
ORD-738353,e898eEB1B9FE22b,2022-02-16,99.26
ORD-924845,e898eEB1B9FE22b,2022-05-23,60.61
ORD-601108,faCEF517ae7D8eB,2022-02-23,87.78
ORD-250159,c09952De6Cda8aA,2022-01-12,318.7
ORD-111023,f3BEf3Be028166f,2022-12-24,60.82
ORD-166203,C6F2Fc6a7948a4e,2022-01-08,18.59
ORD-614723,c8FE57cBBdCDcb2,2022-03-31,49.15
ORD-730075,B5acdFC982124F2,2022-06-27,30.92
ORD-227016,B5acdFC982124F2,2022-08-16,428.39
ORD-802965,B5acdFC982124F2,2022-05-25,32.82
ORD-417428,B5acdFC982124F2,2022-07-31,92.33
ORD-983439,B5acdFC982124F2,2022-02-15,7.93
ORD-538661,B5acdFC982124F2,2022-03-23,53.89
ORD-563556,B5acdFC982124F2,2022-10-30,251.55
ORD-578007,B5acdFC982124F2,2022-10-13,201.04
ORD-326156,B5acdFC982124F2,2022-01-05,2.67
ORD-161813,B5acdFC982124F2,2022-03-06,65.46
ORD-867214,B5acdFC982124F2,2022-06-26,47.28
ORD-385977,B5acdFC982124F2,2022-03-04,49.92
ORD-369114,B5acdFC982124F2,2022-10-10,84.18
ORD-251456,B5acdFC982124F2,2022-04-08,3.75
ORD-370846,B5acdFC982124F2,2022-11-07,200.04
ORD-773744,B5acdFC982124F2,2022-07-16,817.24
ORD-335365,B5acdFC982124F2,2022-09-16,81.07
ORD-909956,8c7DdF10798bCC3,2022-02-22,289.62
ORD-263273,8c7DdF10798bCC3,2022-03-24,28.42
ORD-549613,C681dDd0cc422f7,2022-01-01,308.02
ORD-943523,a940cE42e035F28,2022-10-15,4.8
ORD-605950,a940cE42e035F28,2022-03-13,2.24
ORD-608153,a940cE42e035F28,2022-06-11,64.67
ORD-412066,a940cE42e035F28,2022-11-02,191.18
ORD-740053,a940cE42e035F28,2022-08-24,82.31
ORD-910717,a940cE42e035F28,2022-09-08,51.66
ORD-381342,a940cE42e035F28,2022-10-30,54.57
ORD-101252,a940cE42e035F28,2022-12-07,101.99
ORD-585450,a940cE42e035F28,2022-04-13,14.66
ORD-702875,a940cE42e035F28,2022-08-14,43.17
ORD-417537,a940cE42e035F28,2022-12-04,49.8
ORD-880722,a940cE42e035F28,2022-11-04,79.28
ORD-983671,a940cE42e035F28,2022-12-01,50.51
ORD-170390,a940cE42e035F28,2022-04-16,198.31
ORD-347940,a940cE42e035F28,2022-10-12,15.91
ORD-417623,a940cE42e035F28,2022-11-26,146.5
ORD-417267,a940cE42e035F28,2022-03-10,391.37
ORD-900820,a940cE42e035F28,2022-07-24,23.46
ORD-358090,a940cE42e035F28,2022-08-28,41.79
ORD-761614,a940cE42e035F28,2022-09-06,61.64
ORD-311791,a940cE42e035F28,2022-04-05,51.13
ORD-777775,a940cE42e035F28,2022-01-08,19.85
ORD-994647,a940cE42e035F28,2022-10-08,227.1
ORD-463714,a940cE42e035F28,2022-06-04,110.13
ORD-962129,a940cE42e035F28,2022-03-02,21.36
ORD-517170,a940cE42e035F28,2022-10-04,18.5
ORD-211195,9Cf5E6AFE0aeBfd,2022-06-19,19.48
ORD-441396,aEcbe5365BbC67D,2022-11-22,12.86
ORD-466824,FCBdfCEAe20A8Dc,2022-01-12,23.11
ORD-151745,FCBdfCEAe20A8Dc,2022-03-19,40.06
ORD-312890,636cBF0835E10ff,2022-03-14,9.68
ORD-909006,fF1b6c9E8Fbf1ff,2022-05-01,116.41
ORD-883415,fF1b6c9E8Fbf1ff,2022-12-16,17.08
ORD-480975,fF1b6c9E8Fbf1ff,2022-03-02,0.26
ORD-688579,fF1b6c9E8Fbf1ff,2022-09-14,8.83
ORD-572930,fF1b6c9E8Fbf1ff,2022-09-10,428.72
ORD-575774,fF1b6c9E8Fbf1ff,2022-02-25,66.27
ORD-489593,fF1b6c9E8Fbf1ff,2022-01-28,46.03
ORD-668535,fF1b6c9E8Fbf1ff,2022-12-31,6.44
ORD-246106,fF1b6c9E8Fbf1ff,2022-11-08,14.29
ORD-760482,fF1b6c9E8Fbf1ff,2022-04-21,186.07
ORD-548874,2A13F74EAa7DA6c,2022-08-27,3.09
ORD-218033,a014Ec1b9FccC1E,2022-10-21,76.06
ORD-266926,a014Ec1b9FccC1E,2022-07-11,31.37
ORD-473220,a014Ec1b9FccC1E,2022-01-28,2.03
ORD-347736,a014Ec1b9FccC1E,2022-09-30,23.76
ORD-550009,a014Ec1b9FccC1E,2022-05-06,12.76
ORD-728880,a014Ec1b9FccC1E,2022-01-13,90.04
ORD-732387,a014Ec1b9FccC1E,2022-03-08,104.65
ORD-486193,a014Ec1b9FccC1E,2022-04-21,87.75
ORD-126069,a014Ec1b9FccC1E,2022-02-03,81.59
ORD-570951,a014Ec1b9FccC1E,2022-08-24,13.65
ORD-462920,a014Ec1b9FccC1E,2022-04-11,45.11
ORD-809913,a014Ec1b9FccC1E,2022-11-16,84.58
ORD-699991,a014Ec1b9FccC1E,2022-11-11,430.62
ORD-365956,a014Ec1b9FccC1E,2022-10-16,0.76
ORD-216421,a014Ec1b9FccC1E,2022-03-11,28.23
ORD-258211,a014Ec1b9FccC1E,2022-12-16,20.65
ORD-886237,a014Ec1b9FccC1E,2022-12-16,19.04
ORD-258518,a014Ec1b9FccC1E,2022-05-17,8.36
ORD-518034,a014Ec1b9FccC1E,2022-01-31,52.83
ORD-962755,a014Ec1b9FccC1E,2022-08-11,226.92
ORD-403571,a014Ec1b9FccC1E,2022-08-08,249.37
ORD-843246,a014Ec1b9FccC1E,2022-05-14,369.16
ORD-212221,a014Ec1b9FccC1E,2022-03-03,265.04
ORD-625134,a014Ec1b9FccC1E,2022-07-22,84.77
ORD-932946,a014Ec1b9FccC1E,2022-06-22,146.75
ORD-237541,a014Ec1b9FccC1E,2022-04-28,124.12
ORD-289139,a014Ec1b9FccC1E,2022-08-13,133.27
ORD-335659,a014Ec1b9FccC1E,2022-02-16,122.84
ORD-964909,a014Ec1b9FccC1E,2022-11-16,9.13
ORD-101917,a014Ec1b9FccC1E,2022-05-19,268.85
ORD-467436,421a109cABDf5fa,2022-09-16,5.32
ORD-866641,CC68FD1D3Bbbf22,2022-01-10,79.54
ORD-503081,CBCd2Ac8E3eBDF9,2022-06-21,22.53
ORD-105287,CBCd2Ac8E3eBDF9,2022-05-10,9.2
ORD-756702,Ef859092FbEcC07,2022-04-11,0.27
ORD-872042,F560f2d3cDFb618,2022-02-07,53.08
ORD-142078,A3F76Be153Df4a3,2022-11-01,190.2
ORD-636507,D01Af0AF7cBbFeA,2022-08-24,52.51
ORD-429588,D01Af0AF7cBbFeA,2022-05-17,22.94
ORD-435842,D01Af0AF7cBbFeA,2022-02-04,260.98
ORD-791519,d40e89dCade7b2F,2022-03-01,184.41
ORD-632295,d40e89dCade7b2F,2022-09-24,158.61
ORD-451005,BF6a1f9bd1bf8DE,2022-10-18,17.94
ORD-622244,BF6a1f9bd1bf8DE,2022-12-05,109.42
ORD-599097,FfaeFFbbbf280db,2022-03-03,44.45
ORD-114060,FfaeFFbbbf280db,2022-02-11,49.83
ORD-929735,FfaeFFbbbf280db,2022-11-24,57.83
ORD-139711,CbAE1d1e9a8dCb1,2022-06-28,97.84
ORD-318134,CbAE1d1e9a8dCb1,2022-03-04,69.86
ORD-250168,CbAE1d1e9a8dCb1,2022-05-25,229.83
ORD-538774,CbAE1d1e9a8dCb1,2022-11-05,236.95
ORD-635590,CbAE1d1e9a8dCb1,2022-07-17,281.06
ORD-196646,CbAE1d1e9a8dCb1,2022-06-28,40.78
ORD-580703,CbAE1d1e9a8dCb1,2022-01-15,210.89
ORD-367552,CbAE1d1e9a8dCb1,2022-08-19,85.13
ORD-675644,CbAE1d1e9a8dCb1,2022-02-07,139.6
ORD-930460,CbAE1d1e9a8dCb1,2022-10-16,3.41
ORD-381173,CbAE1d1e9a8dCb1,2022-11-18,143.74
ORD-343322,CbAE1d1e9a8dCb1,2022-11-26,41.87
ORD-548396,CbAE1d1e9a8dCb1,2022-06-08,47.61
ORD-302967,CbAE1d1e9a8dCb1,2022-07-03,69.77
ORD-382247,CbAE1d1e9a8dCb1,2022-09-18,66.62
ORD-184291,A7F85c1DE4dB87f,2022-11-28,147.79
ORD-247550,D6CEAfb3BDbaa1A,2022-04-25,118.4
ORD-592313,Ebdb6F6F7c90b69,2022-10-26,91.39
ORD-695603,Ebdb6F6F7c90b69,2022-01-11,319.6
ORD-700613,Ebdb6F6F7c90b69,2022-05-14,51.22
ORD-494030,Ebdb6F6F7c90b69,2022-12-12,294.28
ORD-233515,Ebdb6F6F7c90b69,2022-08-06,88.24
ORD-225885,E8E7e8Cfe516ef0,2022-07-29,94.53
ORD-288014,E8E7e8Cfe516ef0,2022-04-14,205.67
ORD-795275,78C06E9b6B3DF20,2022-12-22,251.02
ORD-295716,03A1E62ADdeb31c,2022-10-20,122.84
ORD-938761,C6763c99d0bd16D,2022-04-02,46.91
ORD-417320,C6763c99d0bd16D,2022-02-20,133.35
ORD-275399,ebe77E5Bf9476CE,2022-10-24,259.79
ORD-769078,E4Bbcd8AD81fC5f,2022-09-14,12.02
ORD-232717,E4Bbcd8AD81fC5f,2022-07-01,181.7
ORD-594592,efeb73245CDf1fF,2022-11-15,37.32
ORD-532498,37Ec4B395641c1E,2022-05-29,47.69
ORD-568276,5ef6d3eefdD43bE,2022-05-17,23.01
ORD-925656,5ef6d3eefdD43bE,2022-04-27,92.56
ORD-140738,98b3aeDcC3B9FF3,2022-03-04,53.53
ORD-863978,98b3aeDcC3B9FF3,2022-10-21,42.52
ORD-226161,aAb6AFc7AfD0fF3,2022-12-13,60.19
ORD-666202,aAb6AFc7AfD0fF3,2022-12-30,243.9
ORD-871253,aAb6AFc7AfD0fF3,2022-06-01,86.19
ORD-906388,54B5B5Fe9F1B6C5,2022-12-10,37.32
ORD-194270,BE91A0bdcA49Bbc,2022-05-30,24.86
ORD-247313,BE91A0bdcA49Bbc,2022-02-18,19.61
ORD-670451,cb8E23e48d22Eae,2022-12-27,16.09
ORD-414997,CeD220bdAaCfaDf,2022-12-08,8.92
ORD-306524,28CDbC0dFe4b1Db,2022-12-26,69.75
ORD-830880,28CDbC0dFe4b1Db,2022-08-12,6.94
ORD-978806,28CDbC0dFe4b1Db,2022-07-30,42.98
ORD-159676,28CDbC0dFe4b1Db,2022-11-01,3.72
ORD-714685,28CDbC0dFe4b1Db,2022-05-24,83.2
ORD-249521,28CDbC0dFe4b1Db,2022-09-14,149.4
ORD-803662,28CDbC0dFe4b1Db,2022-07-13,76.45
ORD-662288,28CDbC0dFe4b1Db,2022-04-24,68.72
ORD-951587,28CDbC0dFe4b1Db,2022-09-21,197.89
ORD-402950,28CDbC0dFe4b1Db,2022-05-11,46.73
ORD-962061,28CDbC0dFe4b1Db,2022-06-11,52.55
ORD-837334,28CDbC0dFe4b1Db,2022-10-15,125.87
ORD-209575,28CDbC0dFe4b1Db,2022-11-17,80.23
ORD-605815,28CDbC0dFe4b1Db,2022-09-12,1.99
ORD-549589,28CDbC0dFe4b1Db,2022-09-06,160.9
ORD-434402,28CDbC0dFe4b1Db,2022-02-20,105.77
ORD-725646,28CDbC0dFe4b1Db,2022-09-21,10.47
ORD-134911,28CDbC0dFe4b1Db,2022-03-29,128.11
ORD-999885,28CDbC0dFe4b1Db,2022-06-14,15.21
ORD-711213,28CDbC0dFe4b1Db,2022-08-11,39.15
ORD-147057,28CDbC0dFe4b1Db,2022-01-07,100.3
ORD-378176,28CDbC0dFe4b1Db,2022-05-31,188.47
ORD-267292,28CDbC0dFe4b1Db,2022-02-05,102.98
ORD-481009,28CDbC0dFe4b1Db,2022-01-02,241.49
ORD-123236,28CDbC0dFe4b1Db,2022-01-11,30.03
ORD-330785,28CDbC0dFe4b1Db,2022-07-14,89.23
ORD-478387,28CDbC0dFe4b1Db,2022-09-18,42.34
ORD-756639,28CDbC0dFe4b1Db,2022-08-10,45.06
ORD-238155,28CDbC0dFe4b1Db,2022-12-21,296.53
ORD-864757,28CDbC0dFe4b1Db,2022-12-30,15.1
ORD-356713,c23d1D9EE8DEB0A,2022-06-07,66.83
ORD-190093,c23d1D9EE8DEB0A,2022-08-03,160.87
ORD-807280,c23d1D9EE8DEB0A,2022-04-25,71.84
ORD-659655,c23d1D9EE8DEB0A,2022-08-25,51.51
ORD-123752,2354a0E336A91A1,2022-09-03,103.58
ORD-413837,2354a0E336A91A1,2022-01-04,14.19
